time,track_id,label,similarity,x1,y1,x2,y2,area_ratio
Wed Dec  3 11:36:00 2025,22,HUMAN,0.000,0,346,44,479,0.01905
Wed Dec  3 11:36:01 2025,21,HUMAN,0.000,531,140,639,479,0.11918
Wed Dec  3 11:36:01 2025,22,HUMAN,0.000,0,368,58,479,0.02096
Wed Dec  3 11:36:02 2025,21,HUMAN,0.000,504,159,639,479,0.14062
Wed Dec  3 11:36:02 2025,22,HUMAN,0.000,0,364,44,479,0.01647
Wed Dec  3 11:36:03 2025,21,HUMAN,0.000,503,156,639,479,0.14299
Wed Dec  3 11:36:03 2025,22,HUMAN,0.000,0,373,74,479,0.02553
Wed Dec  3 11:36:04 2025,21,HUMAN,0.000,506,159,639,479,0.13854
Wed Dec  3 11:36:04 2025,22,HUMAN,0.000,0,374,61,479,0.02085
Wed Dec  3 11:36:05 2025,21,HUMAN,0.000,511,155,639,479,0.13500
Wed Dec  3 11:36:05 2025,22,HUMAN,0.000,0,373,60,479,0.02070
Wed Dec  3 11:36:06 2025,21,HUMAN,0.000,521,150,639,479,0.12637
Wed Dec  3 11:36:06 2025,22,HUMAN,0.000,0,375,63,479,0.02133
Wed Dec  3 11:36:07 2025,21,HUMAN,0.000,571,138,639,479,0.07548
Wed Dec  3 11:36:07 2025,22,HUMAN,0.000,0,374,62,479,0.02119
Wed Dec  3 11:36:07 2025,21,HUMAN,0.000,565,182,639,479,0.07154
Wed Dec  3 11:36:07 2025,22,HUMAN,0.000,0,370,54,479,0.01916
Wed Dec  3 11:36:08 2025,21,HUMAN,0.000,582,180,639,479,0.05548
Wed Dec  3 11:36:08 2025,21,HUMAN,0.000,599,183,639,479,0.03854
Wed Dec  3 11:36:09 2025,21,HUMAN,0.000,600,166,639,479,0.03974
Wed Dec  3 11:36:09 2025,21,HUMAN,0.000,602,164,639,479,0.03794
Wed Dec  3 11:36:09 2025,21,HUMAN,0.000,600,164,639,479,0.03999
Wed Dec  3 11:36:10 2025,21,HUMAN,0.000,598,165,639,479,0.04191
Wed Dec  3 11:36:10 2025,22,HUMAN,0.000,0,371,32,479,0.01125
Wed Dec  3 11:36:10 2025,21,HUMAN,0.000,598,163,639,479,0.04217
Wed Dec  3 11:36:10 2025,22,HUMAN,0.000,0,369,50,479,0.01790
Wed Dec  3 11:36:10 2025,22,HUMAN,0.000,0,371,52,479,0.01828
Wed Dec  3 11:36:11 2025,21,HUMAN,0.000,605,158,639,479,0.03553
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,373,58,479,0.02001
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,373,60,479,0.02070
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,374,64,479,0.02187
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,374,65,479,0.02222
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,374,67,479,0.02290
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,375,67,479,0.02268
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,375,68,479,0.02302
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,375,68,479,0.02302
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,375,72,479,0.02437
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,376,75,479,0.02515
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,379,79,479,0.02572
Wed Dec  3 11:36:11 2025,21,HUMAN,0.000,608,168,639,478,0.03128
Wed Dec  3 11:36:11 2025,22,HUMAN,0.000,0,386,85,479,0.02573
Wed Dec  3 11:36:12 2025,21,HUMAN,0.000,594,191,639,479,0.04219
Wed Dec  3 11:36:12 2025,21,HUMAN,0.000,610,193,639,479,0.02700
Wed Dec  3 11:36:12 2025,22,HUMAN,0.000,0,386,83,479,0.02513
Wed Dec  3 11:36:12 2025,21,HUMAN,0.000,588,211,639,479,0.04449
Wed Dec  3 11:36:12 2025,22,HUMAN,0.000,0,384,83,479,0.02567
Wed Dec  3 11:36:13 2025,21,HUMAN,0.000,588,213,639,479,0.04416
Wed Dec  3 11:36:13 2025,22,HUMAN,0.000,0,385,82,479,0.02509
Wed Dec  3 11:36:13 2025,21,HUMAN,0.000,603,199,639,479,0.03281
Wed Dec  3 11:36:13 2025,22,HUMAN,0.000,0,384,77,479,0.02381
Wed Dec  3 11:36:13 2025,22,HUMAN,0.000,0,383,76,479,0.02375
Wed Dec  3 11:36:13 2025,22,HUMAN,0.000,0,382,75,479,0.02368
Wed Dec  3 11:36:13 2025,22,HUMAN,0.000,0,382,75,479,0.02368
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,381,73,479,0.02329
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,381,72,479,0.02297
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,71,479,0.02288
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,71,479,0.02288
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,70,479,0.02256
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,69,479,0.02224
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,68,479,0.02191
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,68,479,0.02191
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,380,69,479,0.02224
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,381,69,479,0.02201
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,381,70,479,0.02233
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,381,71,479,0.02265
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,381,70,479,0.02233
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,382,71,479,0.02242
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,382,71,479,0.02242
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,382,71,479,0.02242
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,383,71,479,0.02219
Wed Dec  3 11:36:14 2025,22,HUMAN,0.000,0,383,71,479,0.02219
Wed Dec  3 11:36:14 2025,23,HUMAN,0.000,614,190,639,478,0.02344
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,383,71,479,0.02219
Wed Dec  3 11:36:15 2025,23,HUMAN,0.000,610,187,639,477,0.02738
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,383,71,479,0.02219
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,383,70,479,0.02187
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,382,70,479,0.02210
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,382,70,479,0.02210
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,382,70,479,0.02210
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,382,71,479,0.02242
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,382,71,479,0.02242
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,382,71,479,0.02242
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,383,71,479,0.02219
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,383,70,479,0.02187
Wed Dec  3 11:36:15 2025,22,HUMAN,0.000,0,383,70,479,0.02187
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,383,69,479,0.02156
